COLLECTION,PRODUCT,PRODUCTDESCRIPTION,SKU,COLOR,SUBDEPARTMENTSKU,ENRICHVENDORNAME,SIGNSTYLES,SIZESMARTSHEET
Home D̩cor,Rugs,CAMPING TRIP TOWELS AND RUG,18578123,TAN/MULTI,VIGNETTE RUGS,"AVANTI LINENS, INC.",Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),RUG
Home D̩cor,Rugs,Majesty Bath Rug 22x60 Natural,41604380,NATURAL,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"22"" X 60"""
Home D̩cor,Rugs,Majesty Bath Rug 24x40 Chocolate,41604359,CHOCOLATE,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"24"" X 40"""
Home D̩cor,Rugs,Majesty Bath Rug 24x40 White,41604328,WHITE,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"24"" X 40"""
Home D̩cor,Rugs,Majesty Bath Rug 22x60 White,41604373,WHITE,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"22"" X 60"""
Home D̩cor,Rugs,Majesty Bath Rug 24x40 Sky Blue,41604342,SKY BLUE,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"24"" X 40"""
Home D̩cor,Rugs,Majesty Bath Rug 24x40 Natural,41604335,NATURAL,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"24"" X 40"""
Home D̩cor,Rugs,Majesty Bath Rug 24x40 Chili Pepper,41604366,CHILI PEPPER,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"24"" X 40"""
Home D̩cor,Rugs,Majesty Bath Rug 22x60 Chocolate,41604403,CHOCOLATE,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"22"" X 60"""
Home D̩cor,Rugs,Majesty Bath Rug 22x60 Chili Pepper,41604410,CHILI PEPPER,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"22"" X 60"""
Home D̩cor,Rugs,Majesty Bath Rug 30x50 Sky Blue,41604670,SKY BLUE,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"30"" X 50"""
Home D̩cor,Rugs,Majesty Bath Rug 30x50 Natural,41604434,NATURAL,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"30"" X 50"""
Home D̩cor,Rugs,Majesty Bath Rug 30x50 Chili Pepper,41604694,CHILI PEPPER,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"30"" X 50"""
Home D̩cor,Rugs,Majesty Bath Rug 30x50 White,41604427,WHITE,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"30"" X 50"""
Home D̩cor,Rugs,Majesty Bath Rug 30x50 Chocolate,41604687,CHOCOLATE,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"30"" X 50"""
Home D̩cor,Rugs,Majesty Bath Rug 22x60 Sky Blue,41604397,SKY BLUE,COTTONS,GARLAND SALES INC,Assortment Extension (5x3 Horizontal)||Lead Bold (first item is pronounced) (6x9)||Standard/Enhanced (5x3),"22"" X 60"""
Bedding,Shams,CAMBRIDGE QLT SHAM,12058853,MULTI,QUILTS,AMERICAN PACIFIC ENT. LLC/NAUTICA,Standard/Enhanced (5x3),STANDARD SHAM
Bedding,Shams,FLANL NVY STD SHAM,12093063,NAVY,FLANNEL DUVETS,ZORLU USA INC.,Standard/Enhanced (5x3),STANDARD SHAM
Bath,Towels,PREMIER WHT H,17283090,WHITE,EMBELLISHED TOWELS,"AVANTI LINENS, INC.",Standard/Enhanced (6x9),HAND TOWEL
